AS,ASN,Count
47890,"Unmanaged Ltd","82,816"
14061,"DIGITALOCEAN-ASN","6,661"
17426,"Primesoftex Ltd","3,148"
4134,Chinanet,"2,087"
24560,"Bharti Airtel Ltd., Telemedia Services","1,603"
396982,"GOOGLE-CLOUD-PLATFORM","1,398"
210644,"Aeza International Ltd","1,257"
137905,"Mangkone Technology Co. Ltd.","1,255"
43830,"Basis LLC","1,248"
135944,"VinhNam Commercial informatics service corporation","1,248"
