Filename,"T-Pot Path (/data/cowrie/downloads)",Count
"clean.sh","dl/d46555af1173d22f07c37ef9c1e0e74fd68db022f2b6fb3ab5388d2c5bc6a98e",3
"redtail.arm7","dl/2ef6bb55a79d81fbda6d574456a8c187f610c5ae2ddca38e32cf7cc50912b0bf",3
"redtail.arm8","dl/fc8730fbe87bcbdc093a1ffbcb0028ccb4c24638e55d13fd853b07574f4cbe4a",3
"redtail.i686","dl/7780e72f7dea978946d4615c8db1b239d3e2c742cfc8be2934006b1fd6071110",3
"redtail.x86_64","dl/b6ee8e08f1d4992ca85770e6883c1d2206ebbaf42f99d99aba0e26278de8bffb",3
